2019,2018,2017,2016,2015
Post Earth,Possible Dust Clouds,Dedicated to Bobby Jameson,Do Not Disturb,This Is the Sonics
78,78,79,78,78
Feels,Kristin Hersh,Ariel Pink,Van der Graaf Generator,The Sonics
User: tbd,User: 7.7,User: 8.0,User: tbd,User: 7.6
22-Feb-19,5-Oct-18,15-Sep-17,30-Sep-16,31-Mar-15
South of Reality,Jake Shears,Okovi,Trick,Dark Sky Island
78,78,79,78,78
The Claypool Lennon Delirium,Jake Shears,Zola Jesus,Jamie T.,Enya
User: 7.8,User: 7.7,User: 7.9,User: 7.9,User: 8.4
22-Feb-19,10-Aug-18,8-Sep-17,2-Sep-16,20-Nov-15
Surviving,Sculptor,There Is No Love in Fluorescent Light,Oddments of the Gamble,Edge of the Sun
78,78,79,78,78
Jimmy Eat World,Luluc,Stars,Nonkeen,Calexico
User: 8.0,User: 6.8,User: 8.0,User: tbd,User: 7.2
18-Oct-19,13-Jul-18,13-Oct-17,5-Aug-16,14-Apr-15
Gold Past Life,The Salt Doll Went to Measure the Depth of the Sea,C U L T U R E,Contrepoint,Honeymoon
78,78,79,78,78
Fruit Bats,The Low Anthem,Migos,Nicolas Godin,Lana Del Rey
User: 8.0,User: tbd,User: 7.4,User: tbd,User: 8.4
21-Jun-19,23-Feb-18,27-Jan-17,22-Apr-16,18-Sep-15
"Everything Not Saved Will Be Lost, Pt. 1",The Thread That Keeps Us,The Age of Anxiety,Of Course You Are,II
78,78,79,78,78
Foals,Calexico,Pixx,Robert Pollard,METZ
User: 7.9,User: 7.6,User: 8.1,User: tbd,User: 7.7
8-Mar-19,26-Jan-18,2-Jun-17,4-Mar-16,4-May-15
Venus in Leo,Last Night,Swear I'm Good at This,Lost Property,Time to Go Home
78,78,79,78,78
HTRK,Benin City,Diet Cig,Turin Brakes,Chastity Belt
User: tbd,User: tbd,User: 7.0,User: tbd,User: 8.8
30-Aug-19,13-Apr-18,7-Apr-17,29-Jan-16,24-Mar-15
Tomb,Camila,Kelly Lee Owens,Everything Sacred,Ibeyi
78,78,79,78,78
Angelo De Augustine,Camila Cabello,Kelly Lee Owens,Yorkston,Ibeyi
User: 6.6,User: 8.5,User: 7.9,User: tbd,User: 8.3
11-Jan-19,12-Jan-18,24-Mar-17,15-Jan-16,17-Feb-15
Sucker Punch,Dance on the Blacktop,I Used to Spend So Much Time Alone,Painkillers,The Heart Is a Monster
78,77,79,78,78
Sigrid,Nothing,Chastity Belt,Brian Fallon,Failure
User: 8.6,User: 7.3,User: 7.1,User: 8.3,User: 8.2
8-Mar-19,24-Aug-18,2-Jun-17,11-Mar-16,30-Jun-15
The Seduction of Kansas,Among the Ghosts,Home Counties,Tween,Ones and Sixes
78,77,79,78,78
Priests,Lucero,Saint Etienne,Wye Oak,Low
User: 7.1,User: tbd,User: 7.1,User: 7.8,User: 8.3
5-Apr-19,3-Aug-18,2-Jun-17,5-Aug-16,11-Sep-15
There Will Be No Intermission,I'm Bad Now,Mountain Moves,The Colour In Anything,Under Branch and Thorn and Tree
78,77,79,78,78
Amanda Palmer,Nap Eyes,Deerhoof,James Blake,Samantha Crain
User: 8.1,User: 6.3,User: 7.9,User: 8.5,User: tbd
8-Mar-19,9-Mar-18,8-Sep-17,5-May-16,17-Jul-15
Happy in the Hollow,I Don't Run,Life After Youth,DJ-Kicks,The Waterfall
78,77,79,78,78
TOY,Hinds,Land of Talk,Jackmaster,My Morning Jacket
User: 6.5,User: 7.7,User: 7.8,User: tbd,User: 7.9
25-Jan-19,6-Apr-18,19-May-17,8-Jul-16,4-May-15
Terms of Surrender,Merrie Land,Dark Days + Canapés,To Be Everywhere Is to Be Nowhere,Multi-Love
78,77,79,78,78
Hiss Golden Messenger,"The Good, the Bad & the Queen",Ghostpoet,Thrice,Unknown Mortal Orchestra
User: tbd,User: 7.8,User: 7.1,User: 8.3,User: 8.5
20-Sep-19,16-Nov-18,18-Aug-17,27-May-16,26-May-15
A People's History of Gauche,Deeper Woods,Snow,American Football (LP2),Love + War
77,77,79,78,78
Gauche,Sarah Louise,The New Year,American Football,Kwabs
User: tbd,User: tbd,User: 7.3,User: 7.6,User: 7.5
12-Jul-19,11-May-18,28-Apr-17,21-Oct-16,11-Sep-15
Black Pumas,No Cross No Crown,The Last Rider,The Bride,"You, Whom I Have Always Hated/Released from Love"
77,77,79,78,78
Black Pumas,Corrosion of Conformity,Ron Sexsmith,Bat for Lashes,Thou and The Body
User: 8.0,User: 6.7,User: tbd,User: 7.6,User: tbd
21-Jun-19,12-Jan-18,21-Apr-17,1-Jul-16,27-Jan-15
In League with Dragons,The Tree of Forgiveness,Wintres Woma,Tooth,Fast Food
77,77,79,78,78
The Mountain Goats,John Prine,James Elkington,Raime,Nadine Shah
User: 8.0,User: 8.2,User: tbd,User: tbd,User: 7.9
26-Apr-19,13-Apr-18,30-Jun-17,24-Jun-16,5-May-15
In the Shape of a Storm,Liberty,Witness,Ape In Pink Marble,Sold Out
77,77,79,78,77
Damien Jurado,Lindi Ortega,Benjamin Booker,Devendra Banhart,DJ Paypal
User: 6.5,User: 8.0,User: 6.6,User: 6.9,User: tbd
12-Apr-19,30-Mar-18,2-Jun-17,23-Sep-16,13-Nov-15
All My Relations,There's a Riot Going On,The World's Best American Band,My Way Home,Restless Ones
77,77,79,78,77
Cochemea,Yo La Tengo,White Reaper,"Eli ""Paperboy"" Reed",Heartless Bastards
User: tbd,User: 7.7,User: 7.8,User: tbd,User: tbd
22-Feb-19,16-Mar-18,7-Apr-17,10-Jun-16,16-Jun-15
Stars Are the Light,A Legendary Christmas,Contact,Goodbye Terrible Youth,Viet Cong
77,77,79,78,77
Moon Duo,John Legend,Pharmakon,American Wrestlers,Viet Cong
User: 7.1,User: tbd,User: 6.7,User: tbd,User: 8.2
27-Sep-19,26-Oct-18,31-Mar-17,4-Nov-16,20-Jan-15
Office Politics,Bad Witch,Tenderness,How to Dance,International Blackjazz Society
77,77,78,78,77
The Divine Comedy,Nine Inch Nails,Blue Hawaii,Mount Moriah,Shining
User: 8.3,User: 8.0,User: 8.0,User: tbd,User: tbd
7-Jun-19,22-Jun-18,6-Oct-17,26-Feb-16,23-Oct-15
Laughing Matter,The Art of Pretending to Swim,Ash,First Ditch Effort,The Sovereign Self
77,77,78,78,77
Wand,Villagers,Ibeyi,NOFX,Trembling Bells
User: 7.4,User: 6.7,User: 8.1,User: 7.3,User: tbd
19-Apr-19,21-Sep-18,29-Sep-17,7-Oct-16,29-Jun-15
Love Hates What You Become,Lamp Lit Prose,Rock N Roll Consciousness,ArtScience,I Can't Imagine
77,77,78,78,77
Lost Under Heaven,Dirty Projectors,Thurston Moore,Robert Glasper Experiment,Shelby Lynne
User: 6.3,User: 7.9,User: 7.7,User: tbd,User: tbd
18-Jan-19,13-Jul-18,28-Apr-17,16-Sep-16,4-May-15
Braindrops,Basic Volume,Distractions,Next Thing,V
77,77,78,78,77
Tropical Fuck Storm,Gaika,Ikonika,Frankie Cosmos,Wavves
User: 7.8,User: 7.5,User: tbd,User: 8.7,User: 7.3
23-Aug-19,27-Jul-18,2-Jun-17,1-Apr-16,2-Oct-15
Tasmania,Whistle Down the Wind,Without Warning,Cayamo Sessions at Sea,Insides
77,77,78,78,77
Pond,Joan Baez,21 Savage,Buddy Miller & Friends,Fort Romeau
User: 7.9,User: tbd,User: 7.2,User: tbd,User: tbd
1-Mar-19,2-Mar-18,31-Oct-17,29-Jan-16,31-Mar-15
It's Real,Uniform Distortion,United States of Horror,Take Her Up to Monto,Carousel One
77,77,78,77,77
Ex Hex,Jim James,Ho99o9,Roisin Murphy,Ron Sexsmith
User: 7.2,User: 7.3,User: 8.0,User: 8.2,User: tbd
22-Mar-19,29-Jun-18,5-May-17,8-Jul-16,31-Mar-15
Infest the Rats' Nest,Silver Dollar Moment,Undertow,Paging Mr. Proust,Weirdo Shrine
77,77,78,77,77
King Gizzard & the Lizard Wizard,The Orielles,Wolf Eyes,The Jayhawks,La Luz
User: 8.7,User: 7.8,User: tbd,User: 8.1,User: tbd
16-Aug-19,16-Feb-18,24-Mar-17,29-Apr-16,7-Aug-15
Ride Me Back Home,Little Dark Age,Prince of Tears,Will,Non-Believers
77,77,78,77,77
Willie Nelson,MGMT,Baxter Dury,Julianna Barwick,Mac McCaughan
User: tbd,User: 8.5,User: 7.3,User: 7.6,User: tbd
21-Jun-19,9-Feb-18,27-Oct-17,6-May-16,5-May-15
Look Up Sharp,Space Gun,Different Creatures,Fallen Angels,Moonbuilding 2703 AD
77,77,78,77,77
Carla dal Forno,Guided by Voices,Circa Waves,Bob Dylan,The Orb
User: tbd,User: 7.1,User: 6.9,User: 7.4,User: 8.3
4-Oct-19,23-Mar-18,10-Mar-17,20-May-16,23-Jun-15
In Search of the Miraculous,For My Crimes,Toy,"""Awaken, My Love!""",Mr. Wonderful
77,77,78,77,77
Desperate Journalist,Marissa Nadler,A Giant Dog,Childish Gambino,Action Bronson
User: 7.3,User: 7.4,User: 8.5,User: 8.5,User: 7.5
22-Feb-19,28-Sep-18,25-Aug-17,2-Dec-16,24-Mar-15
"Desert Sessions, Vols. 11 & 12",You're Not Alone,Impermanence,Emotional Mugger,Dilate
77,77,78,77,77
Various Artists,Andrew W.K.,Peter Silberman,Ty Segall,Vessels
User: 8.2,User: 8.1,User: 7.5,User: 7.8,User: 8.0
25-Oct-19,2-Mar-18,24-Feb-17,22-Jan-16,3-Mar-15
Step 2: A Different Kind of Human,Vol. 8,"Sincerely, Future Pollution",E,Liberman
77,77,78,77,77
AURORA,Bardo Pond,Timber Timbre,E,Vanessa Carlton
User: 8.9,User: tbd,User: 7.6,User: tbd,User: 8.6
7-Jun-19,2-Feb-18,7-Apr-17,11-Nov-16,23-Oct-15
Sonic Citadel,Championships,Screen Memories,Alone,Manhattan
77,77,78,77,77
Lightning Bolt,Meek Mill,John Maus,Pretenders,Jeffrey Lewis & Los Bolts
User: 8.6,User: 7.7,User: 7.6,User: 7.7,User: tbd
11-Oct-19,30-Nov-18,27-Oct-17,21-Oct-16,30-Oct-15
You Deserve Love,Love the Holidays,Raskit,Grandfeathered,Invite the Light
77,77,78,77,77
White Reaper,Old 97's,Dizzee Rascal,Pinkshinyultrablast,Dâm-Funk
User: 8.0,User: tbd,User: 6.9,User: 7.6,User: 5.7
18-Oct-19,16-Nov-18,21-Jul-17,26-Feb-16,4-Sep-15
White Stuff,Bon Voyage,Chalice Hymnal,We Move,White Reaper Does It Again
77,77,78,77,77
Royal Trux,Melody's Echo Chamber,Grails,James Vincent McMorrow,White Reaper
User: 6.1,User: 8.0,User: tbd,User: 7.6,User: 8.2
1-Mar-19,15-Jun-18,17-Feb-17,2-Sep-16,17-Jul-15
Pony,Moosebumps: An Exploration Into Modern Day Horripilation,Mura Masa,Emotions and Math,Pylon
77,77,78,77,77
Orville Peck,Dr. Octagon,Mura Masa,Margaret Glaspy,Killing Joke
User: 7.8,User: 7.8,User: 7.7,User: tbd,User: 7.4
22-Mar-19,6-Apr-18,14-Jul-17,17-Jun-16,23-Oct-15
Chastity Belt,Firepower,Concrete Desert,Impossible Dream,The Traveler
77,77,78,77,77
Chastity Belt,Judas Priest,The Bug,Haley Bonar,Rhett Miller
User: tbd,User: 7.9,User: tbd,User: 7.0,User: tbd
20-Sep-19,9-Mar-18,24-Mar-17,5-Aug-16,12-May-15
Years to Burn,Basic Behaviour,Ken,The Revenant [Original Motion Picture Soundtrack],"How Big, How Blue, How Beautiful"
77,77,78,77,77
Calexico,Frigs,Destroyer,Ryuichi Sakamoto,Florence + the Machine
User: 5.6,User: tbd,User: 7.8,User: 7.9,User: 8.9
14-Jun-19,23-Feb-18,20-Oct-17,15-Jan-16,2-Jun-15
Networker,It's a New Day Tonight,20 Years in a Montana Missile Silo,Neo,Dumb Flesh
77,77,78,77,77
Omni,Michael Rault,Pere Ubu,So Pitted,Blanck Mass
User: 6.5,User: tbd,User: tbd,User: tbd,User: 7.8
1-Nov-19,18-May-18,29-Sep-17,19-Feb-16,12-May-15
Mirrorland,Family Portrait,The Hanged Man,Second Love,Why Choose
77,77,78,77,77
EarthGang,Ross from Friends,Ted Leo,Emmy the Great,Shopping
User: 8.0,User: 7.5,User: 8.2,User: 8.7,User: tbd
6-Sep-19,27-Jul-18,8-Sep-17,11-Mar-16,2-Oct-15
Can You Really Find Me,I Don’t Want: The Gold Fire Sessions,Cost of Living,Monument Builders,Innocence & Decadence
77,77,78,77,77
Night Moves,Santigold,Downtown Boys,Loscil,Graveyard
User: 8.5,User: tbd,User: 7.3,User: tbd,User: tbd
28-Jun-19,27-Jul-18,11-Aug-17,11-Nov-16,25-Sep-15
Fibs,Record,Highway Queen,Lighthouse,All Yours
77,77,78,77,77
Anna Meredith,Tracey Thorn,Nikki Lane,David Crosby,Widowspeak
User: 8.1,User: 6.9,User: 8.6,User: tbd,User: tbd
25-Oct-19,2-Mar-18,17-Feb-17,21-Oct-16,4-Sep-15
The Lion King: The Gift,Cosmic Wink,"Pas Pire Pop, I Love You So Much",Smash the System,E-MO-TION
77,77,78,77,77
Beyoncé,Jess Williamson,Avec le Soleil Sortant de Sa Bouche,Luke Haines,Carly Rae Jepsen
User: 8.8,User: tbd,User: tbd,User: tbd,User: 8.9
19-Jul-19,11-May-18,20-Jan-17,7-Oct-16,21-Aug-15
Gathered,First Flower,Moonshine Freeze,Cult Following,"What a Terrible World, What a Beautiful World"
77,77,78,77,77
Howe Gelb,Molly Burch,This Is the Kit,Little Scream,The Decemberists
User: tbd,User: tbd,User: tbd,User: tbd,User: 8.0
8-Mar-19,5-Oct-18,7-Jul-17,6-May-16,20-Jan-15
Bigger Than Life,Fudge Sandwich,Death Peak,No More Lamps in the Morning,O Shudder
77,77,78,77,77
Black Marble,Ty Segall,Clark,Josephine Foster,Dutch Uncles
User: tbd,User: 7.2,User: 7.6,User: tbd,User: 7.6
25-Oct-19,26-Oct-18,7-Apr-17,5-Feb-16,24-Feb-15
In the End,The Blue Hour,HNDRXX,Basar,Every Open Eye
77,77,78,77,77
The Cranberries,Suede,Future,Africaine 808,Chvrches
User: 8.1,User: 7.7,User: 7.0,User: tbd,User: 8.0
26-Apr-19,21-Sep-18,24-Feb-17,19-Feb-16,25-Sep-15
Olympic Girls,Resolve,Kids In The Street,A Mineral Love,Feels Like
77,77,78,77,77
Tiny Ruins,Poppy Ackroyd,Justin Townes Earle,Bibio,Bully
User: 5.8,User: tbd,User: tbd,User: 7.4,User: 8.3
1-Feb-19,2-Feb-18,26-May-17,1-Apr-16,23-Jun-15
The Route To The Harmonium,Dream Wife,Phantom Brickworks,Flood Network,Modern Streets
77,77,78,77,77
James Yorkston,Dream Wife,Bibio,Katie Dey,Beat Spacek
User: tbd,User: 8.0,User: 6.9,User: 7.6,User: tbd
22-Feb-19,26-Jan-18,3-Nov-17,12-Aug-16,26-Jan-15
Hyperspace,Bodied,Anthology: Movie Themes 1974-1998,Are You Serious,Everything Ever Written
77,77,78,77,77
Beck,Ital Tek,John Carpenter,Andrew Bird,Idlewild
User: 6.6,User: tbd,User: tbd,User: 7.6,User: 7.8
22-Nov-19,7-Sep-18,20-Oct-17,1-Apr-16,16-Feb-15
"Everything Not Saved Will Be Lost, Pt. 2",Brighter Wounds,Nothing Valley,The End of Comedy,Dying
77,77,78,77,77
Foals,Son Lux,Melkbelly,Drugdealer,The Spectres
User: 8.7,User: 8.0,User: 7.5,User: tbd,User: 7.3
18-Oct-19,9-Feb-18,13-Oct-17,9-Sep-16,24-Feb-15
How Do You Love?,Venetian Snares x Daniel Lanois,Versus,Konono No.1 Meets Batida,Morning/Evening
77,76,78,77,77
The Regrettes,Venetian Snares,Carl Craig,Konono No. 1,Four Tet
User: 7.2,User: tbd,User: tbd,User: tbd,User: 6.6
9-Aug-19,4-May-18,5-May-17,29-Apr-16,10-Jul-15
Highway Hypnosis,Ruins,Whiteout Conditions,American Tunes,Jaakko Eino Kalevi
77,76,78,77,77
Sneaks,First Aid Kit,The New Pornographers,Allen Toussaint,Jaakko Eino Kalevi
User: 6.6,User: 7.4,User: 7.9,User: tbd,User: tbd
25-Jan-19,19-Jan-18,7-Apr-17,10-Jun-16,16-Jun-15
Plastic Anniversary,Deafman Glance,Omnion,And the Anonymous Nobody,Fantastic Planet
76,76,78,77,77
Matmos,Ryley Walker,Hercules & Love Affair,De La Soul,Noveller
User: 6.7,User: 6.2,User: 7.7,User: 7.6,User: tbd
15-Mar-19,18-May-18,1-Sep-17,26-Aug-16,27-Jan-15
Shiny New Model,Challenge Me Foolish,Best Troubador,Void Beats/Invocation Trex,Gliss Riffer
76,76,78,77,77
Bodega,µ-Ziq,"Bonnie ""Prince"" Billy",Cavern of Anti-Matter,Dan Deacon
User: tbd,User: tbd,User: tbd,User: 8.0,User: 7.7
11-Oct-19,13-Apr-18,5-May-17,19-Feb-16,24-Feb-15
"Turn Off the News, Build a Garden",Obey,Elytral,Day Breaks,Pain
76,76,78,77,77
Lukas Nelson & Promise of the Real,Exploded View,Mary Epworth,Norah Jones,Deaf Wish
User: tbd,User: tbd,User: tbd,User: 8.3,User: tbd
14-Jun-19,28-Sep-18,1-Sep-17,7-Oct-16,7-Aug-15
No Words Left,Perfect Shapes,Write In,FurFour,Rose Mountain
76,76,78,77,77
Lucy Rose,Madeline Kenney,Happyness,Grumbling Fur,Screaming Females
User: 7.4,User: tbd,User: tbd,User: tbd,User: 7.6
22-Mar-19,5-Oct-18,7-Apr-17,16-Sep-16,24-Feb-15
Valve Bone Woe,SR3MM,Emperor of Sand,III,Nothing
76,76,78,77,77
Chrissie Hynde & the Valve Bone Woe Ensemble,Rae Sremmurd,Mastodon,Moderat,Kode9
User: tbd,User: 6.3,User: 8.1,User: 7.5,User: 7.0
6-Sep-19,4-May-18,31-Mar-17,1-Apr-16,6-Nov-15
Scholars,The Official Body,Let the Dancers Inherit the Party,Mykki,What Went Down
76,76,78,77,77
Buke and Gase,Shopping,British Sea Power,Mykki Blanco,Foals
User: 6.2,User: 7.9,User: 7.6,User: 6.9,User: 8.4
18-Jan-19,19-Jan-18,31-Mar-17,16-Sep-16,28-Aug-15
Lost Girls,Messes,Forget,Atomic,Payola
76,76,78,77,76
Bat for Lashes,Stef Chura,Xiu Xiu,Mogwai,Desaparecidos
User: 8.0,User: tbd,User: 8.0,User: 7.7,User: 7.7
6-Sep-19,2-Feb-18,24-Feb-17,17-Jun-16,23-Jun-15
Scenery,Thunder Follows the Light,Light Information,Delirium Tremens,Free TC
76,76,78,77,76
Emily King,Mutual Benefit,Chad VanGaalen,Mick Harvey,Ty Dolla $ign
User: 8.7,User: tbd,User: tbd,User: tbd,User: 7.5
1-Feb-19,21-Sep-18,8-Sep-17,24-Jun-16,13-Nov-15
This Mess Is a Place,Queen of Golden Dogs,Strange Peace,The Soft Bounce,Few More Days to Go
76,76,78,77,76
Tacocat,Vessel,METZ,Beyond the Wizards Sleeve,Fufanu
User: tbd,User: tbd,User: 7.4,User: 8.3,User: tbd
3-May-19,9-Nov-18,22-Sep-17,1-Jul-16,27-Nov-15
This Wild Willing,Phoenix,The Haze,IV,Heavy Love
76,76,78,77,76
Glen Hansard,Rita Ora,Pulled Apart by Horses,BadBadNotGood,Duke Garwood
User: 7.2,User: 8.3,User: tbd,User: 8.4,User: tbd
12-Apr-19,23-Nov-18,17-Mar-17,8-Jul-16,10-Feb-15
III,No. 4,City of No Reply,Felder,1000 Days
76,76,78,77,76
Banks,Christina Vantzou,Amber Coffman,Jan St. Werner,Wand
User: 8.4,User: tbd,User: 7.5,User: tbd,User: tbd
12-Jul-19,6-Apr-18,2-Jun-17,1-Apr-16,25-Sep-15
False Alarm,Fall Into the Sun,Lust for Life,Ambulance,Ad Infinitum
76,76,77,77,76
Two Door Cinema Club,Swearin',Lana Del Rey,The Amazing,Telekinesis
User: 7.5,User: tbd,User: 8.0,User: tbd,User: tbd
21-Jun-19,5-Oct-18,21-Jul-17,22-Jul-16,18-Sep-15
Enderness,As Long as I Have You,Sad Clowns & Hillbillies,Redemption,Highest Point in Cliff Town
76,76,77,77,76
A.A. Bondy,Roger Daltrey,John Mellencamp,Dawn Richard,Hooton Tennis Club
User: 8.4,User: tbd,User: tbd,User: 8.3,User: 8.6
10-May-19,1-Jun-18,28-Apr-17,18-Nov-16,28-Aug-15
Fool,Tranquility Base Hotel + Casino,Beach House III,Apache,Holding All the Roses
76,76,77,77,76
Joe Jackson,Arctic Monkeys,Ty Dolla $ign,Aaron Neville,Blackberry Smoke
User: 7.3,User: 7.1,User: 6.9,User: tbd,User: 6.0
18-Jan-19,11-May-18,27-Oct-17,15-Jul-16,10-Feb-15
Invitation,Bunny,Quazarz vs. The Jealous Machines,Marlon Williams,Freedom Tower: No Wave Dance Party 2015
76,76,77,77,76
Heather Woods Broderick,Matthew Dear,Shabazz Palaces,Marlon Williams,The Jon Spencer Blues Explosion
User: tbd,User: 7.5,User: 7.2,User: tbd,User: tbd
19-Apr-19,12-Oct-18,14-Jul-17,19-Feb-16,24-Mar-15
Health,Hormone Lemonade,Bajas Fresh,Spilt Milk,Sour Soul
76,76,77,76,76
C Duncan,Cavern of Anti-Matter,Bitchin Bajas,Peter Astor,Ghostface Killah
User: tbd,User: tbd,User: tbd,User: tbd,User: 7.8
29-Mar-19,23-Mar-18,17-Nov-17,12-Feb-16,24-Feb-15
Pyroclasts,Insecure Men,Dear,32 Levels,At.Long.Last.A$AP
76,76,77,76,76
Sunn O))),Insecure Men,Boris,Clams Casino,A$AP Rocky
User: 7.0,User: tbd,User: tbd,User: 7.2,User: 8.2
25-Oct-19,23-Feb-18,14-Jul-17,15-Jul-16,26-May-15
Up on High,Quiet and Peace,Undivided Heart & Soul,Traditional Synthesizer Music,Depression Cherry
76,76,77,76,76
Vetiver,Buffalo Tom,JD McPherson,Venetian Snares,Beach House
User: tbd,User: tbd,User: tbd,User: 7.7,User: 8.6
1-Nov-19,2-Mar-18,6-Oct-17,19-Feb-16,28-Aug-15
PONY,hej!,AFI (The Blood Album),#N/A,"Imani, Vol. 1"
76,76,77,76,76
Rex Orange County,Felicita,AFI,Nisennenmondai,Blackalicious
User: 7.8,User: 6.6,User: 6.4,User: tbd,User: 8.2
25-Oct-19,3-Aug-18,20-Jan-17,1-Apr-16,18-Sep-15
Violet Street,The Return,Dirty Projectors,Skip a Sinking Stone,Into Colour
76,76,77,76,76
Local Natives,Kamaal Williams,Dirty Projectors,Mutual Benefit,Rumer
User: 8.7,User: tbd,User: 7.9,User: tbd,User: tbd
26-Apr-19,25-May-18,21-Feb-17,20-May-16,10-Feb-15
Malibu Ken,My Way,Weighing of the Heart,Let The Record Show: Dexys Do Irish And Country Soul,Music Complete
76,76,77,76,76
Malibu Ken,Willie Nelson,Nabihah Iqbal,Dexys,New Order
User: 8.1,User: tbd,User: tbd,User: tbd,User: 8.4
18-Jan-19,14-Sep-18,1-Dec-17,3-Jun-16,25-Sep-15
Immunity,Evil Spirits,Anthropocene,British Road Movies,Comb the Feelings Through Your Hair
76,75,77,76,76
Clairo,The Damned,Peter Oren,Kate Jackson,Grooms
User: 8.4,User: tbd,User: tbd,User: tbd,User: tbd
2-Aug-19,13-Apr-18,10-Nov-17,27-May-16,17-Feb-15
Groove Denied,Million Dollars To Kill Me,"The Lonely, The Lonesome & The Gone",Plaza,Too
76,75,77,76,76
Stephen Malkmus,Joyce Manor,Lee Ann Womack,Quilt,FIDLAR
User: 7.4,User: 8.0,User: tbd,User: tbd,User: 8.5
15-Mar-19,21-Sep-18,27-Oct-17,26-Feb-16,4-Sep-15
End of Suffering,The Lamb,Big Balloon,Phase Zero,Eat Pray Thug
76,75,77,76,76
Frank Carter & the Rattlesnakes,Lala Lala,Dutch Uncles,Morgan Delt,Heems
User: 7.2,User: tbd,User: 7.3,User: tbd,User: 6.5
3-May-19,28-Sep-18,17-Feb-17,26-Aug-16,10-Mar-15
Act Surprised,Combat Sports,To the Bone,M:FANS,Girls in Peacetime Want to Dance
76,75,77,76,76
Sebadoh,The Vaccines,Steven Wilson,John Cale,Belle and Sebastian
User: tbd,User: 8.0,User: 8.4,User: 7.6,User: 8.0
24-May-19,30-Mar-18,18-Aug-17,22-Jan-16,20-Jan-15
Juice B Crypts,Who Are You,1992 Deluxe,Light Falls,Talent Night at the Ashram
76,75,77,76,76
Battles,E Ruscha V,Princess Nokia,Wrekmeister Harmonies,Sonny & the Sunsets
User: 6.4,User: tbd,User: 8.2,User: tbd,User: tbd
18-Oct-19,2-Mar-18,8-Sep-17,16-Sep-16,17-Feb-15
Small Mercies,Digital Garbage,A Short History of Decay,Should I Remain Here at Sea?,Kablammo!
76,75,77,76,76
Pixx,Mudhoney,John Murry,Islands,Ash
User: 7.2,User: 7.0,User: tbd,User: 8.4,User: 7.6
7-Jun-19,28-Sep-18,21-Jul-17,13-May-16,9-Jun-15
The Best of Luck Club,Murmurations,Quazarz: Born on a Gangster Star,The Rarity of Experience,The Republic
76,75,77,76,76
Alex Lahey,Simian Mobile Disco,Shabazz Palaces,Chris Forsyth & the Solar Motel Band,Sam Prekop
User: 6.7,User: 8.0,User: 7.5,User: tbd,User: tbd
17-May-19,11-May-18,14-Jul-17,4-Mar-16,24-Feb-15
Lung Bread for Daddy,Sex & Food,Humanz,Side Pony,Dungeon Golds
76,75,77,76,76
Du Blonde,Unknown Mortal Orchestra,Gorillaz,Lake Street Dive,The Minus 5
User: 6.1,User: 8.0,User: 7.1,User: 8.0,User: tbd
22-Feb-19,6-Apr-18,28-Apr-17,19-Feb-16,10-Mar-15
ALL,Music For The Long Emergency,Interiors,Goodnight City,Instrumentals 2015
76,75,77,76,76
Yann Tiersen,Poliça,Quicksand,Martha Wainwright,Flying Saucer Attack
User: 7.3,User: 8.0,User: 7.2,User: tbd,User: tbd
15-Feb-19,16-Feb-18,10-Nov-17,11-Nov-16,17-Jul-15
Close It Quietly,Tahoe,The Far Field,Strangers,Music For Drifters
76,75,77,76,76
Frankie Cosmos,Dedekind Cut,Future Islands,Marissa Nadler,Field Music
User: 7.7,User: tbd,User: 7.5,User: 8.1,User: tbd
6-Sep-19,23-Feb-18,7-Apr-17,20-May-16,24-Jul-15
Fine Line,Hardly Electronic,As You Please,"Ha, Ha, He.",Hidden Fields
76,75,77,76,76
Harry Styles,The Essex Green,Citizen,Mourn,The Telescopes
User: 8.7,User: tbd,User: 7.2,User: 8.3,User: tbd
13-Dec-19,29-Jun-18,6-Oct-17,3-Jun-16,21-Aug-15
Doko Mien,High As Hope,Milano,Lazarus [Original Cast Recording],Who Is the Sender?
76,75,77,76,76
Ibibio Sound Machine,Florence + the Machine,Daniele Luppi,Various Artists,Bill Fay
User: tbd,User: 8.5,User: 7.0,User: tbd,User: tbd
22-Mar-19,29-Jun-18,27-Oct-17,21-Oct-16,28-Apr-15
Leaving Meaning.,Living in Extraordinary Times,Stitch of the World,Remain Calm,Faith in the Future
75,75,77,76,76
Swans,James,Tift Merritt,Mica Levi,Craig Finn
User: 8.3,User: 7.4,User: tbd,User: tbd,User: tbd
25-Oct-19,3-Aug-18,27-Jan-17,25-Nov-16,11-Sep-15
Egoli,Mr. Dynamite,Every Valley,All Your Happy Life,Hairball
75,75,77,76,76
Africa Express,Creep Show,Public Service Broadcasting,The Wytches,Nai Harvest
User: tbd,User: tbd,User: 7.6,User: 6.6,User: tbd
12-Jul-19,16-Mar-18,7-Jul-17,30-Sep-16,28-Apr-15
Girl with Basket of Fruit,Elastic Days,Try Not To Freak Out,No Grace,No Life For Me
75,75,77,76,76
Xiu Xiu,J Mascis,Sløtface,PAWS,Wavves & Cloud Nothings
User: 7.6,User: 6.2,User: 7.0,User: tbd,User: 8.6
8-Feb-19,9-Nov-18,15-Sep-17,17-Jun-16,29-Jun-15
I Love You. It's a Fever Dream,Conquistador,Migration,Here,Something in the Water
75,75,77,76,76
