2019,2018,2017,2016,2015
Thanks for the Dance,Hope Downs,Modern Kosmology,The Ghosts of Highway 20,Foil Deer
84,84,84,83,83
Leonard Cohen,Rolling Blackouts Coastal Fever,Jane Weaver,Lucinda Williams,Speedy Ortiz
User: 7.8,User: 8.0,User: 7.5,User: 7.5,User: 7.6
22-Nov-19,15-Jun-18,19-May-17,5-Feb-16,21-Apr-15
Cuz I Love You,Insula,The Witch,Scheherazade,White Men Are Black Men Too
84,84,84,83,83
Lizzo,Proc Fiskal,Pumarosa,Freakwater,Young Fathers
User: 7.5,User: tbd,User: 8.3,User: tbd,User: 8.1
19-Apr-19,8-Jun-18,19-May-17,5-Feb-16,7-Apr-15
Humanworld,Invasion of Privacy,Super Natural,In Search of Harperfield,LP [2015]
84,84,84,83,83
Peter Perrett,Cardi B,Jim Jones & The Righteous Mind,Emma Pollock,Container
User: tbd,User: 5.8,User: tbd,User: 7.0,User: tbd
7-Jun-19,6-Apr-18,12-May-17,26-Feb-16,9-Jun-15
Athena,Singularity,A Common Truth,Eyes on the Lines,Music in Exile
83,84,84,83,83
Sudan Archives,Jon Hopkins,Saltland,Steve Gunn,Songhoy Blues
User: 7.4,User: 8.3,User: tbd,User: 6.9,User: 7.3
1-Nov-19,4-May-18,31-Mar-17,3-Jun-16,23-Feb-15
uknowhatimsayin¿,The Sciences,Uyai,Something About April II,Blackbirds
83,84,84,83,83
Danny Brown,Sleep,Ibibio Sound Machine,Adrian Younge,Gretchen Peters
User: 8.3,User: 7.8,User: 7.7,User: 7.7,User: 8.0
4-Oct-19,20-Apr-18,3-Mar-17,22-Jan-16,10-Feb-15
Trust in the Lifeforce of the Deep Mystery,Sparkle Hard,Memories Are Now,The Narrows,High
83,84,83,83,83
The Comet Is Coming,Stephen Malkmus & the Jicks,Jesca Hoop,Grant-Lee Philips,Royal Headache
User: 8.1,User: 7.8,User: 8.0,User: 5.2,User: 7.7
15-Mar-19,18-May-18,10-Feb-17,18-Mar-16,21-Aug-15
Like the River Loves the Sea,All Nerve,Soft Sounds From Another Planet,Hopelessness,M
83,84,83,83,83
Joan Shelley,The Breeders,Japanese Breakfast,Anohni,Myrkur
User: 7.1,User: 7.3,User: 8.2,User: 8.2,User: 8.7
30-Aug-19,2-Mar-18,14-Jul-17,6-May-16,21-Aug-15
Heavy Lifter,Listening to Pictures (Pentimento Volume I),Need to Feel Your Love,SVIIB,Star Wars
83,84,83,83,83
Hovvdy,Jon Hassell,Sheer Mag,School of Seven Bells,Wilco
User: tbd,User: 7.6,User: 7.9,User: 7.7,User: 8.4
18-Oct-19,8-Jun-18,14-Jul-17,26-Feb-16,16-Jul-15
While I'm Livin',Premonitions,Turn Out the Lights,Outer Heaven,Safe
83,84,83,83,83
Tanya Tucker,Miya Folick,Julien Baker,Greys,Visionist
User: 8.7,User: 7.7,User: 7.9,User: 6.4,User: tbd
23-Aug-19,26-Oct-18,27-Oct-17,22-Apr-16,9-Oct-15
Deserted,Negro Swan,Live in Paris,We Are King,Primrose Green
83,84,83,83,83
Mekons,Blood Orange,Sleater-Kinney,King,Ryley Walker
User: tbd,User: 8.2,User: 7.7,User: 7.8,User: 8.4
29-Mar-19,24-Aug-18,27-Jan-17,5-Feb-16,31-Mar-15
The Return,Rebound,The Navigator,Hubris,Infinite Dissolution
83,84,83,83,83
Sampa the Great,Eleanor Friedberger,Hurray for the Riff Raff,Oren Ambarchi,Locrian
User: 7.8,User: 7.6,User: 7.1,User: tbd,User: tbd
13-Sep-19,4-May-18,10-Mar-17,28-Oct-16,24-Jul-15
Devour,Solo Piano III,Gargoyle,America's National Parks,B'lieve I'm Goin' Down
83,84,83,83,83
Pharmakon,Chilly Gonzales,Mark Lanegan Band,Wadada Leo Smith,Kurt Vile
User: 7.5,User: tbd,User: 7.6,User: tbd,User: 7.5
30-Aug-19,7-Sep-18,28-Apr-17,14-Oct-16,25-Sep-15
Placeholder,Raw Silk Uncut Wood,EX EYE,"If You See Me, Say Yes",The Miraculous
83,84,83,83,82
Hand Habits,Laurel Halo,EX EYE,Flock of Dimes,Anna von Hausswolff
User: 7.5,User: 8.0,User: 7.3,User: 7.5,User: 8.4
1-Mar-19,13-Jul-18,23-Jun-17,23-Sep-16,13-Nov-15
Significant Changes,Hunter,The Source,Whole & Cloven,Servant of Love
83,84,83,83,82
Jayda G,Anna Calvi,Tony Allen,Nathan Bowles,Patty Griffin
User: tbd,User: 8.1,User: tbd,User: tbd,User: 7.3
22-Mar-19,31-Aug-18,8-Sep-17,2-Sep-16,25-Sep-15
The Afterlife,Everything's Fine,Wrangled,Blue and Lonesome,Life
83,84,83,82,82
The Comet Is Coming,Jean Grae,Angaleena Presley,The Rolling Stones,Dan Friel
User: 6.3,User: 8.5,User: 6.5,User: 7.4,User: 5.9
6-Dec-19,27-Apr-18,21-Apr-17,2-Dec-16,16-Oct-15
A Bath Full of Ecstasy,Song for Alpha,Nothing Feels Natural,Daniel Bachman,Panda Bear Meets the Grim Reaper
83,84,83,82,82
Hot Chip,Daniel Avery,Priests,Daniel Bachman,Panda Bear
User: 7.7,User: 7.3,User: 7.8,User: tbd,User: 8.0
21-Jun-19,6-Apr-18,27-Jan-17,11-Nov-16,13-Jan-15
Miri,Freedom's Goblin,L.A Witch,The Peace & Truce of Future of the Left,Luminiferous
83,84,83,82,82
Bassekou Kouyate & Ngoni Ba,Ty Segall,L.A. Witch,Future of the Left,High on Fire
User: tbd,User: 7.8,User: 7.8,User: 7.5,User: 7.4
1-Feb-19,26-Jan-18,8-Sep-17,8-Apr-16,16-Jun-15
Forevher,Don't Look Away,Pangs,No One Deserves Happiness,Shackles Gift
83,84,83,82,82
Shura,Alexander Tucker,Alasdair Roberts,The Body,Zun Zun Egui
User: 8.5,User: tbd,User: tbd,User: 8.3,User: 7.3
16-Aug-19,24-Aug-18,24-Feb-17,18-Mar-16,27-Jan-15
Clarity,Autobiography,Woodland Echoes,Freetown Sound,Don't Lose This
83,83,83,82,82
Kim Petras,Jlin,Nick Heyward,Blood Orange,"Roebuck ""Pops"" Staples"
User: 8.8,User: 7.1,User: 8.4,User: 8.6,User: tbd
28-Jun-19,28-Sep-18,4-Aug-17,28-Jun-16,17-Feb-15
At the Party with My Brown Friends,Magus,Goodnight Rhonda Lee,Nothing More to Say,Frozen Niagara Falls
82,83,83,82,82
Black Belt Eagle Scout,Thou,Nicole Atkins,The Frightnrs,Prurient
User: 7.1,User: 7.5,User: 7.5,User: tbd,User: 7.5
30-Aug-19,31-Aug-18,21-Jul-17,2-Sep-16,12-May-15
When I Say to You Black Lightning,Aviary,Arpo,Love Streams,Anxiety's Kiss
82,83,83,82,82
Common Holly,Julia Holter,Call Super,Tim Hecker,Coliseum
User: tbd,User: 8.0,User: 8.5,User: 8.1,User: tbd
11-Oct-19,26-Oct-18,10-Nov-17,8-Apr-16,5-May-15
Pang,Anticlines,Party,The Waiting Room,Shadows in the Night
82,83,83,82,82
Caroline Polachek,Lucrecia Dalt,Aldous Harding,Tindersticks,Bob Dylan
User: 8.9,User: tbd,User: 8.1,User: 7.5,User: 7.8
